First,Last,Inning,Home_Score,Away_Score,Runners_on_Base,Event_Outcome,RBIs_Scored,Max_RBIs_Possible,Situational_Factor,Event_Score,Situational_Score
Denard,Span,1,0,0,0,Strikeout,0,1,1,-0.5,-0.5
Orlando,Hudson,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Joe,Mauer,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Erick,Aybar,1,0,0,0,"Nonintentional Walk",0,1,1,0.3,0.3
Bobby,Abreu,1,0,0,1,"Generic Out",0,2,1,-0.2,-0.2
Torii,Hunter,1,0,0,1,"Wild Pitch",0,2,1,0,0
Torii,Hunter,1,0,0,1,"Nonintentional Walk",0,2,1,0.3,0.3
Hideki,Matsui,1,0,0,2,"Generic Out",0,3,1,-0.2,-0.2
Kendrys,Morales,1,0,0,2,Single,1,3,1,1,1.33333
Juan,Rivera,1,1,0,2,Single,1,3,0.5,1,0.666667
Howie,Kendrick,1,2,0,2,"Generic Out",0,3,0.333333,-0.2,-0.0666667
Justin,Morneau,2,2,0,0,Single,0,1,0.666667,1,0.666667
Michael,Cuddyer,2,2,0,1,Strikeout,0,2,0.666667,-0.5,-0.333333
Jason,Kubel,2,2,0,1,"Generic Out",0,2,0.666667,-0.2,-0.133333
Delmon,Young,2,2,0,1,Homerun,2,2,0.666667,4,3.33333
J.J.,Hardy,2,2,2,0,"Generic Out",0,1,2,-0.2,-0.4
Brandon,Wood,2,2,2,0,Strikeout,0,1,2,-0.5,-1
Jeff,Mathis,2,2,2,0,Homerun,1,1,2,4,10
Erick,Aybar,2,3,2,0,"Generic Out",0,1,1,-0.2,-0.2
Bobby,Abreu,2,3,2,0,"Generic Out",0,1,1,-0.2,-0.2
Nick,Punto,3,3,2,0,"Generic Out",0,1,1.5,-0.2,-0.3
Denard,Span,3,3,2,0,Strikeout,0,1,1.5,-0.5,-0.75
Orlando,Hudson,3,3,2,0,Double,0,1,1.5,2,3
Joe,Mauer,3,3,2,1,Strikeout,0,2,1.5,-0.5,-0.75
Torii,Hunter,3,3,2,0,Strikeout,0,1,1.5,-0.5,-0.75
Hideki,Matsui,3,3,2,0,"Generic Out",0,1,1.5,-0.2,-0.3
Kendrys,Morales,3,3,2,0,"Generic Out",0,1,1.5,-0.2,-0.3
Justin,Morneau,4,3,2,0,Strikeout,0,1,2,-0.5,-1
Michael,Cuddyer,4,3,2,0,"Generic Out",0,1,2,-0.2,-0.4
Jason,Kubel,4,3,2,0,Strikeout,0,1,2,-0.5,-1
Juan,Rivera,4,3,2,0,"Generic Out",0,1,2,-0.2,-0.4
Howie,Kendrick,4,3,2,0,"Generic Out",0,1,2,-0.2,-0.4
Brandon,Wood,4,3,2,0,Strikeout,0,1,2,-0.5,-1
Delmon,Young,5,3,2,0,Single,0,1,2.5,1,2.5
J.J.,Hardy,5,3,2,1,"Stolen Base",0,2,2.5,0,0
J.J.,Hardy,5,3,2,1,"Generic Out",0,2,2.5,-0.2,-0.5
Nick,Punto,5,3,2,1,"Generic Out",1,2,2.5,-0.2,0.75
Denard,Span,5,3,3,0,"Generic Out",0,1,5,-0.2,-1
Jeff,Mathis,5,3,3,0,"Generic Out",0,1,5,-0.2,-1
Erick,Aybar,5,3,3,0,Single,0,1,5,1,5
Bobby,Abreu,5,3,3,1,"Generic Out",0,2,5,-0.2,-1
Torii,Hunter,5,3,3,1,"Nonintentional Walk",0,2,5,0.3,1.5
Hideki,Matsui,5,3,3,2,Single,1,3,5,1,6.66667
Kendrys,Morales,5,4,3,2,"Generic Out",0,3,2.5,-0.2,-0.5
Orlando,Hudson,6,4,3,0,"Generic Out",0,1,3,-0.2,-0.6
Joe,Mauer,6,4,3,0,"Generic Out",0,1,3,-0.2,-0.6
Justin,Morneau,6,4,3,0,"Nonintentional Walk",0,1,3,0.3,0.9
Michael,Cuddyer,6,4,3,1,Single,0,2,3,1,3
Jason,Kubel,6,4,3,2,"Nonintentional Walk",0,3,3,0.3,0.9
Delmon,Young,6,4,3,3,"Generic Out",0,4,3,-0.2,-0.6
Juan,Rivera,6,4,3,0,"Generic Out",0,1,3,-0.2,-0.6
Howie,Kendrick,6,4,3,0,"Generic Out",0,1,3,-0.2,-0.6
Brandon,Wood,6,4,3,0,Strikeout,0,1,3,-0.5,-1.5
J.J.,Hardy,7,4,3,0,Single,0,1,3.5,1,3.5
Jim,Thome,7,4,3,1,"Generic Out",0,2,3.5,-0.2,-0.7
Denard,Span,7,4,3,1,Strikeout,0,2,3.5,-0.5,-1.75
Orlando,Hudson,7,4,3,1,"Hit By Pitch",0,2,3.5,0.2,0.7
Joe,Mauer,7,4,3,2,Single,0,3,3.5,1,3.5
Justin,Morneau,7,4,3,3,"Generic Out",0,4,3.5,-0.2,-0.7
Jeff,Mathis,7,4,3,0,"Generic Out",0,1,3.5,-0.2,-0.7
Erick,Aybar,7,4,3,0,Single,0,1,3.5,1,3.5
Bobby,Abreu,7,4,3,1,"Generic Out",0,2,3.5,-0.2,-0.7
Torii,Hunter,7,4,3,1,"Generic Out",0,2,3.5,-0.2,-0.7
Michael,Cuddyer,8,4,3,0,"Nonintentional Walk",0,1,4,0.3,1.2
Jason,Kubel,8,4,3,1,"Generic Out",0,2,4,-0.2,-0.8
Delmon,Young,8,4,3,1,"Generic Out",0,2,4,-0.2,-0.8
Hideki,Matsui,8,4,3,0,Homerun,1,1,4,4,20
Kendrys,Morales,8,5,3,0,Homerun,1,1,2.66667,4,13.3333
Juan,Rivera,8,6,3,0,"Generic Out",0,1,2,-0.2,-0.4
Howie,Kendrick,8,6,3,0,Single,0,1,2,1,2
Brandon,Wood,8,6,3,1,"Generic Out",0,2,2,-0.2,-0.4
Jeff,Mathis,8,6,3,1,"Stolen Base",0,2,2,0,0
Jeff,Mathis,8,6,3,1,Strikeout,0,2,2,-0.5,-1
J.J.,Hardy,9,6,3,0,Strikeout,0,1,2.25,-0.5,-1.125
Brendan,Harris,9,6,3,0,"Generic Out",0,1,2.25,-0.2,-0.45
Denard,Span,9,6,3,0,"Generic Out",0,1,2.25,-0.2,-0.45
Denard,Span,1,0,0,0,"Nonintentional Walk",0,1,1,0.3,0.3
Orlando,Hudson,1,0,0,1,"Generic Out",0,2,1,-0.2,-0.2
Joe,Mauer,1,0,0,1,Homerun,2,2,1,4,5
Justin,Morneau,1,0,2,0,Single,0,1,0.333333,1,0.333333
Michael,Cuddyer,1,0,2,1,Single,0,2,0.333333,1,0.333333
Jason,Kubel,1,0,2,2,"Nonintentional Walk",0,3,0.333333,0.3,0.1
Delmon,Young,1,0,2,3,"Generic Out",1,4,0.333333,-0.2,0.0166667
J.J.,Hardy,1,0,3,2,Strikeout,0,3,0.25,-0.5,-0.125
Erick,Aybar,1,0,3,0,"Nonintentional Walk",0,1,0.25,0.3,0.075
Bobby,Abreu,1,0,3,1,"Nonintentional Walk",0,2,0.25,0.3,0.075
Torii,Hunter,1,0,3,2,"Generic Out",0,3,0.25,-0.2,-0.05
Hideki,Matsui,1,0,3,1,Strikeout,0,2,0.25,-0.5,-0.125
Nick,Punto,2,0,3,0,"Generic Out",0,1,0.5,-0.2,-0.1
Denard,Span,2,0,3,0,Single,0,1,0.5,1,0.5
Orlando,Hudson,2,0,3,1,Strikeout,0,2,0.5,-0.5,-0.25
Joe,Mauer,2,0,3,1,"Generic Out",0,2,0.5,-0.2,-0.1
Kendrys,Morales,2,0,3,0,Strikeout,0,1,0.5,-0.5,-0.25
Juan,Rivera,2,0,3,0,"Generic Out",0,1,0.5,-0.2,-0.1
Howie,Kendrick,2,0,3,0,Single,0,1,0.5,1,0.5
Brandon,Wood,2,0,3,1,"Generic Out",0,2,0.5,-0.2,-0.1
Justin,Morneau,3,0,3,0,Homerun,1,1,0.75,4,3.75
Michael,Cuddyer,3,0,4,0,Single,0,1,0.6,1,0.6
Jason,Kubel,3,0,4,1,Strikeout,0,2,0.6,-0.5,-0.3
Delmon,Young,3,0,4,1,Pickoff,0,2,0.6,0,0
Delmon,Young,3,0,4,0,"Generic Out",0,1,0.6,-0.2,-0.12
Jeff,Mathis,3,0,4,0,Single,0,1,0.6,1,0.6
Erick,Aybar,3,0,4,1,"Generic Out",0,2,0.6,-0.2,-0.12
Bobby,Abreu,3,0,4,1,Single,0,2,0.6,1,0.6
Torii,Hunter,3,0,4,2,Single,1,3,0.6,1,0.8
Hideki,Matsui,3,1,4,2,"Generic Out",0,3,0.75,-0.2,-0.15
J.J.,Hardy,4,1,4,0,Homerun,1,1,1,4,5
Nick,Punto,4,1,5,0,"Generic Out",0,1,0.8,-0.2,-0.16
Denard,Span,4,1,5,0,"Generic Out",0,1,0.8,-0.2,-0.16
Orlando,Hudson,4,1,5,0,"Generic Out",0,1,0.8,-0.2,-0.16
Kendrys,Morales,4,1,5,0,"Generic Out",0,1,0.8,-0.2,-0.16
Juan,Rivera,4,1,5,0,"Generic Out",0,1,0.8,-0.2,-0.16
Howie,Kendrick,4,1,5,0,Single,0,1,0.8,1,0.8
Brandon,Wood,4,1,5,1,Single,0,2,0.8,1,0.8
Jeff,Mathis,4,1,5,2,"Generic Out",0,3,0.8,-0.2,-0.16
Joe,Mauer,5,1,5,0,"Generic Out",0,1,1,-0.2,-0.2
Justin,Morneau,5,1,5,0,Strikeout,0,1,1,-0.5,-0.5
Michael,Cuddyer,5,1,5,0,Double,0,1,1,2,2
Jason,Kubel,5,1,5,1,"Generic Out",0,2,1,-0.2,-0.2
Erick,Aybar,5,1,5,0,"Nonintentional Walk",0,1,1,0.3,0.3
Bobby,Abreu,5,1,5,1,"Generic Out",0,2,1,-0.2,-0.2
Torii,Hunter,5,1,5,1,Homerun,2,2,1,4,5
Hideki,Matsui,5,3,5,0,"Nonintentional Walk",0,1,1.66667,0.3,0.5
Kendrys,Morales,5,3,5,1,"Generic Out",0,2,1.66667,-0.2,-0.333333
Juan,Rivera,5,3,5,1,"Generic Out",0,2,1.66667,-0.2,-0.333333
Delmon,Young,6,3,5,0,Single,0,1,2,1,2
J.J.,Hardy,6,3,5,1,"Generic Out",0,2,2,-0.2,-0.4
Nick,Punto,6,3,5,0,"Nonintentional Walk",0,1,2,0.3,0.6
Denard,Span,6,3,5,1,Error,0,2,2,0,0
Orlando,Hudson,6,3,5,2,"Generic Out",0,3,2,-0.2,-0.4
Howie,Kendrick,6,3,5,0,"Generic Out",0,1,2,-0.2,-0.4
Brandon,Wood,6,3,5,0,"Generic Out",0,1,2,-0.2,-0.4
Jeff,Mathis,6,3,5,0,Strikeout,0,1,2,-0.5,-1
Joe,Mauer,7,3,5,0,"Generic Out",0,1,2.33333,-0.2,-0.466667
Justin,Morneau,7,3,5,0,"Nonintentional Walk",0,1,2.33333,0.3,0.7
Michael,Cuddyer,7,3,5,1,"Generic Out",0,2,2.33333,-0.2,-0.466667
Erick,Aybar,7,3,5,0,"Generic Out",0,1,2.33333,-0.2,-0.466667
Bobby,Abreu,7,3,5,0,Strikeout,0,1,2.33333,-0.5,-1.16667
Torii,Hunter,7,3,5,0,Double,0,1,2.33333,2,4.66667
Hideki,Matsui,7,3,5,1,"Generic Out",0,2,2.33333,-0.2,-0.466667
Jason,Kubel,8,3,5,0,"Nonintentional Walk",0,1,2.66667,0.3,0.8
Delmon,Young,8,3,5,1,Strikeout,0,2,2.66667,-0.5,-1.33333
J.J.,Hardy,8,3,5,1,"Generic Out",0,2,2.66667,-0.2,-0.533333
Kendrys,Morales,8,3,5,0,"Generic Out",0,1,2.66667,-0.2,-0.533333
Juan,Rivera,8,3,5,0,"Generic Out",0,1,2.66667,-0.2,-0.533333
Howie,Kendrick,8,3,5,0,"Generic Out",0,1,2.66667,-0.2,-0.533333
Nick,Punto,9,3,5,0,Strikeout,0,1,3,-0.5,-1.5
Denard,Span,9,3,5,0,"Generic Out",0,1,3,-0.2,-0.6
Orlando,Hudson,9,3,5,0,"Generic Out",0,1,3,-0.2,-0.6
Brandon,Wood,9,3,5,0,Strikeout,0,1,3,-0.5,-1.5
Maicer,Izturis,9,3,5,0,"Generic Out",0,1,3,-0.2,-0.6
Erick,Aybar,9,3,5,0,Strikeout,0,1,3,-0.5,-1.5
Denard,Span,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Orlando,Hudson,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Joe,Mauer,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Erick,Aybar,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Bobby,Abreu,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Torii,Hunter,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Justin,Morneau,2,0,0,0,Strikeout,0,1,2,-0.5,-1
Michael,Cuddyer,2,0,0,1,"Generic Out",0,2,2,-0.2,-0.4
Jim,Thome,2,0,0,1,Strikeout,0,2,2,-0.5,-1
Delmon,Young,2,0,0,1,"Generic Out",0,2,2,-0.2,-0.4
Hideki,Matsui,2,0,0,0,Single,0,1,2,1,2
Kendrys,Morales,2,0,0,1,Single,0,2,2,1,2
Juan,Rivera,2,0,0,2,"Generic Out",0,3,2,-0.2,-0.4
Howie,Kendrick,2,0,0,2,"Hit By Pitch",0,3,2,0.2,0.4
Mike,Napoli,2,0,0,3,"Generic Out",0,4,2,-0.2,-0.4
Brandon,Wood,2,0,0,3,Strikeout,0,4,2,-0.5,-1
J.J.,Hardy,3,0,0,0,"Generic Out",0,1,3,-0.2,-0.6
Nick,Punto,3,0,0,0,Strikeout,0,1,3,-0.5,-1.5
Denard,Span,3,0,0,0,"Generic Out",0,1,3,-0.2,-0.6
Erick,Aybar,3,0,0,0,"Generic Out",0,1,3,-0.2,-0.6
Bobby,Abreu,3,0,0,0,"Generic Out",0,1,3,-0.2,-0.6
Torii,Hunter,3,0,0,0,Single,0,1,3,1,3
Hideki,Matsui,3,0,0,1,Single,0,2,3,1,3
Kendrys,Morales,3,0,0,2,Strikeout,0,3,3,-0.5,-1.5
Orlando,Hudson,4,0,0,0,"Generic Out",0,1,4,-0.2,-0.8
Joe,Mauer,4,0,0,0,"Nonintentional Walk",0,1,4,0.3,1.2
Justin,Morneau,4,0,0,1,Homerun,2,2,4,4,20
Michael,Cuddyer,4,0,2,0,Single,0,1,1.33333,1,1.33333
Jim,Thome,4,0,2,1,Strikeout,0,2,1.33333,-0.5,-0.666667
Delmon,Young,4,0,2,1,"Generic Out",0,2,1.33333,-0.2,-0.266667
Juan,Rivera,4,0,2,0,"Generic Out",0,1,1.33333,-0.2,-0.266667
Howie,Kendrick,4,0,2,0,"Generic Out",0,1,1.33333,-0.2,-0.266667
Mike,Napoli,4,0,2,0,"Generic Out",0,1,1.33333,-0.2,-0.266667
J.J.,Hardy,5,0,2,0,Homerun,1,1,1.66667,4,8.33333
Nick,Punto,5,0,3,0,Triple,0,1,1.25,3,3.75
Denard,Span,5,0,3,1,"Generic Out",1,2,1.25,-0.2,0.375
Orlando,Hudson,5,0,4,0,"Generic Out",0,1,1,-0.2,-0.2
Joe,Mauer,5,0,4,0,Single,0,1,1,1,1
Justin,Morneau,5,0,4,1,"Generic Out",0,2,1,-0.2,-0.2
Brandon,Wood,5,0,4,0,"Generic Out",0,1,1,-0.2,-0.2
Erick,Aybar,5,0,4,0,"Generic Out",0,1,1,-0.2,-0.2
Bobby,Abreu,5,0,4,0,Strikeout,0,1,1,-0.5,-0.5
Michael,Cuddyer,6,0,4,0,"Generic Out",0,1,1.2,-0.2,-0.24
Jim,Thome,6,0,4,0,"Generic Out",0,1,1.2,-0.2,-0.24
Delmon,Young,6,0,4,0,"Generic Out",0,1,1.2,-0.2,-0.24
Torii,Hunter,6,0,4,0,Strikeout,0,1,1.2,-0.5,-0.6
Hideki,Matsui,6,0,4,0,Double,0,1,1.2,2,2.4
Kendrys,Morales,6,0,4,1,"Generic Out",0,2,1.2,-0.2,-0.24
Juan,Rivera,6,0,4,1,Single,1,2,1.2,1,1.8
Howie,Kendrick,6,1,4,1,Strikeout,0,2,1.5,-0.5,-0.75
J.J.,Hardy,7,1,4,0,"Generic Out",0,1,1.75,-0.2,-0.35
Nick,Punto,7,1,4,0,Single,0,1,1.75,1,1.75
Denard,Span,7,1,4,1,"Stolen Base",0,2,1.75,0,0
Denard,Span,7,1,4,1,"Generic Out",0,2,1.75,-0.2,-0.35
Orlando,Hudson,7,1,4,1,"Generic Out",0,2,1.75,-0.2,-0.35
Mike,Napoli,7,1,4,0,Strikeout,0,1,1.75,-0.5,-0.875
Brandon,Wood,7,1,4,0,"Generic Out",0,1,1.75,-0.2,-0.35
Erick,Aybar,7,1,4,0,"Generic Out",0,1,1.75,-0.2,-0.35
Joe,Mauer,8,1,4,0,Strikeout,0,1,2,-0.5,-1
Justin,Morneau,8,1,4,0,"Generic Out",0,1,2,-0.2,-0.4
Michael,Cuddyer,8,1,4,0,"Generic Out",0,1,2,-0.2,-0.4
Bobby,Abreu,8,1,4,0,Single,0,1,2,1,2
Torii,Hunter,8,1,4,1,"Generic Out",0,2,2,-0.2,-0.4
Hideki,Matsui,8,1,4,1,"Generic Out",0,2,2,-0.2,-0.4
Kendrys,Morales,8,1,4,1,"Caught Stealing",0,2,2,0,0
Jim,Thome,9,1,4,0,Strikeout,0,1,2.25,-0.5,-1.125
Delmon,Young,9,1,4,0,"Generic Out",0,1,2.25,-0.2,-0.45
J.J.,Hardy,9,1,4,0,Single,0,1,2.25,1,2.25
Nick,Punto,9,1,4,1,Strikeout,0,2,2.25,-0.5,-1.125
Kendrys,Morales,9,1,4,0,"Generic Out",0,1,2.25,-0.2,-0.45
Juan,Rivera,9,1,4,0,"Generic Out",0,1,2.25,-0.2,-0.45
Howie,Kendrick,9,1,4,0,Double,0,1,2.25,2,4.5
Mike,Napoli,9,1,4,1,Single,1,2,2.25,1,3.375
Brandon,Wood,9,2,4,1,"Generic Out",0,2,3,-0.2,-0.6
Denard,Span,1,0,0,0,"Generic Out",0,1,1,-0.2,-0.2
Orlando,Hudson,1,0,0,0,Single,0,1,1,1,1
Joe,Mauer,1,0,0,1,Double,0,2,1,2,2
Justin,Morneau,1,0,0,2,Strikeout,0,3,1,-0.5,-0.5
Michael,Cuddyer,1,0,0,2,Strikeout,0,3,1,-0.5,-0.5
Erick,Aybar,1,0,0,0,Strikeout,0,1,1,-0.5,-0.5
Bobby,Abreu,1,0,0,0,Single,0,1,1,1,1
Torii,Hunter,1,0,0,1,Single,0,2,1,1,1
Hideki,Matsui,1,0,0,2,"Generic Out",0,3,1,-0.2,-0.2
Kendrys,Morales,1,0,0,2,"Generic Out",0,3,1,-0.2,-0.2
Jim,Thome,2,0,0,0,"Nonintentional Walk",0,1,2,0.3,0.6
Jason,Kubel,2,0,0,1,"Generic Out",0,2,2,-0.2,-0.4
J.J.,Hardy,2,0,0,1,"Generic Out",0,2,2,-0.2,-0.4
Juan,Rivera,2,0,0,0,Single,0,1,2,1,2
Howie,Kendrick,2,0,0,1,Double,0,2,2,2,4
Maicer,Izturis,2,0,0,2,"Generic Out",1,3,2,-0.2,0.266667
Jeff,Mathis,2,1,0,1,"Generic Out",0,2,1,-0.2,-0.2
Erick,Aybar,2,1,0,1,"Generic Out",0,2,1,-0.2,-0.2
Brendan,Harris,3,1,0,0,"Generic Out",0,1,1.5,-0.2,-0.3
Denard,Span,3,1,0,0,"Generic Out",0,1,1.5,-0.2,-0.3
Orlando,Hudson,3,1,0,0,"Generic Out",0,1,1.5,-0.2,-0.3
Bobby,Abreu,3,1,0,0,"Generic Out",0,1,1.5,-0.2,-0.3
Torii,Hunter,3,1,0,0,"Nonintentional Walk",0,1,1.5,0.3,0.45
Hideki,Matsui,3,1,0,1,Strikeout,0,2,1.5,-0.5,-0.75
Kendrys,Morales,3,1,0,1,"Generic Out",0,2,1.5,-0.2,-0.3
Joe,Mauer,4,1,0,0,"Generic Out",0,1,2,-0.2,-0.4
Justin,Morneau,4,1,0,0,"Generic Out",0,1,2,-0.2,-0.4
Michael,Cuddyer,4,1,0,0,"Generic Out",0,1,2,-0.2,-0.4
Juan,Rivera,4,1,0,0,"Generic Out",0,1,2,-0.2,-0.4
Howie,Kendrick,4,1,0,0,"Generic Out",0,1,2,-0.2,-0.4
Maicer,Izturis,4,1,0,0,Strikeout,0,1,2,-0.5,-1
Jim,Thome,5,1,0,0,Double,0,1,2.5,2,5
Jason,Kubel,5,1,0,1,Single,1,2,2.5,1,3.75
J.J.,Hardy,5,1,1,1,"Generic Out",0,2,5,-0.2,-1
Brendan,Harris,5,1,1,1,Homerun,2,2,5,4,25
Denard,Span,5,1,3,0,"Generic Out",0,1,1.66667,-0.2,-0.333333
Orlando,Hudson,5,1,3,0,Error,0,1,1.66667,0,0
Joe,Mauer,5,1,3,1,"Nonintentional Walk",0,2,1.66667,0.3,0.5
Justin,Morneau,5,1,3,2,"Generic Out",0,3,1.66667,-0.2,-0.333333
Jeff,Mathis,5,1,3,0,Single,0,1,1.66667,1,1.66667
Erick,Aybar,5,1,3,1,"Nonintentional Walk",0,2,1.66667,0.3,0.5
Bobby,Abreu,5,1,3,2,"Generic Out",0,3,1.66667,-0.2,-0.333333
Torii,Hunter,5,1,3,2,"Generic Out",0,3,1.66667,-0.2,-0.333333
Hideki,Matsui,5,1,3,2,"Generic Out",0,3,1.66667,-0.2,-0.333333
Michael,Cuddyer,6,1,3,0,"Generic Out",0,1,2,-0.2,-0.4
Jim,Thome,6,1,3,0,"Generic Out",0,1,2,-0.2,-0.4
Jason,Kubel,6,1,3,0,"Generic Out",0,1,2,-0.2,-0.4
Kendrys,Morales,6,1,3,0,Single,0,1,2,1,2
Juan,Rivera,6,1,3,1,"Generic Out",0,2,2,-0.2,-0.4
Howie,Kendrick,6,1,3,1,Single,0,2,2,1,2
Maicer,Izturis,6,1,3,2,"Generic Out",0,3,2,-0.2,-0.4
Jeff,Mathis,6,1,3,2,"Generic Out",0,3,2,-0.2,-0.4
J.J.,Hardy,7,1,3,0,"Nonintentional Walk",0,1,2.33333,0.3,0.7
Brendan,Harris,7,1,3,1,"Nonintentional Walk",0,2,2.33333,0.3,0.7
Denard,Span,7,1,3,2,"Generic Out",0,3,2.33333,-0.2,-0.466667
Orlando,Hudson,7,1,3,2,"Generic Out",0,3,2.33333,-0.2,-0.466667
Joe,Mauer,7,1,3,2,"Generic Out",0,3,2.33333,-0.2,-0.466667
Erick,Aybar,7,1,3,0,Strikeout,0,1,2.33333,-0.5,-1.16667
Bobby,Abreu,7,1,3,0,"Generic Out",0,1,2.33333,-0.2,-0.466667
Torii,Hunter,7,1,3,0,Strikeout,0,1,2.33333,-0.5,-1.16667
Justin,Morneau,8,1,3,0,"Nonintentional Walk",0,1,2.66667,0.3,0.8
Michael,Cuddyer,8,1,3,1,Single,0,2,2.66667,1,2.66667
Jim,Thome,8,1,3,2,Homerun,3,3,2.66667,4,13.3333
Jason,Kubel,8,1,6,0,Strikeout,0,1,1.33333,-0.5,-0.666667
J.J.,Hardy,8,1,6,0,Single,0,1,1.33333,1,1.33333
Brendan,Harris,8,1,6,1,Strikeout,0,2,1.33333,-0.5,-0.666667
Denard,Span,8,1,6,1,"Generic Out",0,2,1.33333,-0.2,-0.266667
Hideki,Matsui,8,1,6,0,Single,0,1,1.33333,1,1.33333
Kendrys,Morales,8,1,6,1,Strikeout,0,2,1.33333,-0.5,-0.666667
Juan,Rivera,8,1,6,1,Strikeout,0,2,1.33333,-0.5,-0.666667
Howie,Kendrick,8,1,6,1,Strikeout,0,2,1.33333,-0.5,-0.666667
Orlando,Hudson,9,1,6,0,Double,0,1,1.5,2,3
Joe,Mauer,9,1,6,1,Single,1,2,1.5,1,2.25
Justin,Morneau,9,1,7,1,"Nonintentional Walk",0,2,1.28571,0.3,0.385714
Michael,Cuddyer,9,1,7,2,Strikeout,0,3,1.28571,-0.5,-0.642857
Jim,Thome,9,1,7,2,"Generic Out",0,3,1.28571,-0.2,-0.257143
Delmon,Young,9,1,7,2,Homerun,3,3,1.28571,4,6.42857
J.J.,Hardy,9,1,10,0,"Generic Out",0,1,0.9,-0.2,-0.18
Maicer,Izturis,9,1,10,0,"Generic Out",0,1,0.9,-0.2,-0.18
Mike,Napoli,9,1,10,0,"Generic Out",0,1,0.9,-0.2,-0.18
Robb,Quinlan,9,1,10,0,Strikeout,0,1,0.9,-0.5,-0.45
Rajai,Davis,1,0,0,0,Single,0,1,1,1,1
Daric,Barton,1,0,0,1,Double,1,2,1,2,2.5
Ryan,Sweeney,1,0,1,1,"Generic Out",0,2,0.5,-0.2,-0.1
Kevin,Kouzmanoff,1,0,1,1,"Hit By Pitch",0,2,0.5,0.2,0.1
Kurt,Suzuki,1,0,1,2,Single,1,3,0.5,1,0.666667
Eric,Chavez,1,0,2,2,"Generic Out",1,3,0.333333,-0.2,0.0444444
Mark,Ellis,1,0,3,1,"Generic Out",0,2,0.25,-0.2,-0.05
Maicer,Izturis,1,0,3,0,"Generic Out",0,1,0.25,-0.2,-0.05
Bobby,Abreu,1,0,3,0,Strikeout,0,1,0.25,-0.5,-0.125
Torii,Hunter,1,0,3,0,Strikeout,0,1,0.25,-0.5,-0.125
Travis,Buck,2,0,3,0,Strikeout,0,1,0.5,-0.5,-0.25
Cliff,Pennington,2,0,3,0,Strikeout,0,1,0.5,-0.5,-0.25
Rajai,Davis,2,0,3,0,Double,0,1,0.5,2,1
Daric,Barton,2,0,3,1,Double,1,2,0.5,2,1.25
Ryan,Sweeney,2,0,4,1,"Generic Out",0,2,0.4,-0.2,-0.08
Hideki,Matsui,2,0,4,0,Homerun,1,1,0.4,4,2
Kendrys,Morales,2,1,4,0,"Generic Out",0,1,0.5,-0.2,-0.1
Juan,Rivera,2,1,4,0,Single,0,1,0.5,1,0.5
Howie,Kendrick,2,1,4,1,"Generic Out",0,2,0.5,-0.2,-0.1
Kevin,Kouzmanoff,3,1,4,0,Single,0,1,0.75,1,0.75
Kurt,Suzuki,3,1,4,1,Strikeout,0,2,0.75,-0.5,-0.375
Eric,Chavez,3,1,4,1,"Generic Out",0,2,0.75,-0.2,-0.15
Brandon,Wood,3,1,4,0,"Generic Out",0,1,0.75,-0.2,-0.15
Jeff,Mathis,3,1,4,0,Strikeout,0,1,0.75,-0.5,-0.375
Maicer,Izturis,3,1,4,0,Single,0,1,0.75,1,0.75
Bobby,Abreu,3,1,4,1,"Generic Out",0,2,0.75,-0.2,-0.15
Mark,Ellis,4,1,4,0,"Generic Out",0,1,1,-0.2,-0.2
Travis,Buck,4,1,4,0,"Generic Out",0,1,1,-0.2,-0.2
Cliff,Pennington,4,1,4,0,"Generic Out",0,1,1,-0.2,-0.2
Torii,Hunter,4,1,4,0,"Generic Out",0,1,1,-0.2,-0.2
Hideki,Matsui,4,1,4,0,"Generic Out",0,1,1,-0.2,-0.2
Kendrys,Morales,4,1,4,0,Strikeout,0,1,1,-0.5,-0.5
Rajai,Davis,5,1,4,0,"Generic Out",0,1,1.25,-0.2,-0.25
Daric,Barton,5,1,4,0,"Nonintentional Walk",0,1,1.25,0.3,0.375
Ryan,Sweeney,5,1,4,1,Single,0,2,1.25,1,1.25
Kevin,Kouzmanoff,5,1,4,2,"Generic Out",1,3,1.25,-0.2,0.166667
Kurt,Suzuki,5,1,5,1,"Generic Out",0,2,1,-0.2,-0.2
Juan,Rivera,5,1,5,0,"Generic Out",0,1,1,-0.2,-0.2
Howie,Kendrick,5,1,5,0,"Nonintentional Walk",0,1,1,0.3,0.3
Brandon,Wood,5,1,5,1,Strikeout,0,2,1,-0.5,-0.5
Jeff,Mathis,5,1,5,1,Single,0,2,1,1,1
Maicer,Izturis,5,1,5,2,Single,1,3,1,1,1.33333
Bobby,Abreu,5,2,5,2,Strikeout,0,3,1.25,-0.5,-0.625
Eric,Chavez,6,2,5,0,Double,0,1,1.5,2,3
